(in /media/data/develop/rails/3m/svn/3m.dev.pankowecki.pl_port_3033/code)
RevisionNumber	ControllersLOC	ControllersClasses	ControllersMethods	HelpersLOC	HelpersClasses	HelpersMethods	ModelsLOC	ModelsClasses	ModelsMethods	LibrariesLOC	LibrariesClasses	LibrariesMethods	IntegrationTestsLOC	IntegrationTestsClasses	IntegrationTestsMethods	FunctionalTestLOC	FunctionalTestClasses	FunctionalTestMethods	UnitTestsLOC	UnitTestsClasses	UnitTestsMethods	TotalLOC	TotalClasses	TotalMethods	

4	775	6	70	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1783	32	212	
5	775	6	70	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1783	32	212	
6	775	6	70	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1783	32	212	
7	775	6	70	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1783	32	212	
8	867	7	79	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1875	33	221	
9	867	7	79	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1875	33	221	
10	867	7	79	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1875	33	221	
11	867	7	79	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1875	33	221	
12	867	7	79	14	0	0	504	7	69	0	0	0	0	0	0	396	12	60	94	7	13	1875	33	221	
13	857	7	79	14	0	0	568	9	78	0	0	0	0	0	0	396	12	60	242	8	26	2077	36	243	
14	857	7	79	14	0	0	568	9	78	0	0	0	0	0	0	396	12	60	242	8	26	2077	36	243	
15	857	7	79	14	0	0	568	9	78	0	0	0	0	0	0	396	12	60	242	8	26	2077	36	243	
16	857	7	79	14	0	0	586	9	81	0	0	0	0	0	0	396	12	60	267	8	29	2120	36	249	
17	857	7	79	14	0	0	586	9	81	0	0	0	0	0	0	396	12	60	267	8	29	2120	36	249	
18	857	7	79	14	0	0	598	9	82	0	0	0	0	0	0	396	12	60	285	8	30	2150	36	251	
19	857	7	79	14	0	0	600	10	82	0	0	0	0	0	0	396	12	60	291	9	31	2158	38	252	
20	857	7	79	14	0	0	600	10	82	36	0	2	0	0	0	396	12	60	291	9	31	2194	38	254	
21	857	7	79	14	0	0	612	10	83	36	0	2	0	0	0	396	12	60	305	9	32	2220	38	256	
22	855	7	79	14	0	0	612	10	83	36	0	2	0	0	0	396	12	60	305	9	32	2218	38	256	
23	853	7	79	14	0	0	612	10	83	36	0	2	0	0	0	396	12	60	305	9	32	2216	38	256	
24	853	7	79	14	0	0	636	10	84	36	0	2	0	0	0	396	12	60	333	9	33	2268	38	258	
25	853	7	79	14	0	0	656	10	85	36	0	2	0	0	0	396	12	60	373	9	36	2328	38	262	
26	853	7	79	14	0	0	655	10	85	37	0	2	0	0	0	396	12	60	434	10	41	2389	39	267	
27	853	7	79	14	0	0	655	10	85	37	0	2	0	0	0	396	12	60	434	10	41	2389	39	267	
28	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
29	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
30	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
31	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
32	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
33	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
34	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
35	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
36	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
37	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
38	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
39	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
40	853	7	79	14	0	0	670	10	92	37	0	2	0	0	0	396	12	60	434	10	41	2404	39	274	
